Käyttöönottovuosi,Merkki,Malli,"Katsastusten
lukumäärä",Hylkäys-%,"Ajettujen
kilometrien
keskiarvo","Ajettujen
kilometrien
mediaani",Yleisin hylkäyssyy,"Toiseksi yleisin
hylkäyssyy","Kolmanneksi yleisin
hylkäyssyy"
2006,Mercedes-Benz,A,644,22.36,157000,146000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",
2006,Mercedes-Benz,B,513,27.1,194000,180000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Seisontajarrun
dynamometritesti"
2006,Mercedes-Benz,C,1744,38.53,260000,248000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2006,Mercedes-Benz,CLK,116,36.21,188000,174000,Etuakselisto,,
2006,Mercedes-Benz,CLS,246,31.71,221000,215000,Etuakselisto,"Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2006,Mercedes-Benz,E,2546,30.79,322000,304000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2006,Mercedes-Benz,M,907,23.81,265000,254000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2006,Mercedes-Benz,R,412,23.79,257000,255000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2006,Mercedes-Benz,S,371,19.41,213000,211000,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2006,Mercedes-Benz,SLK,144,20.14,119000,111000,"Jousitus ja
iskunvaimennus",,
2006,Mercedes-Benz,VITO,114,47.37,367000,351000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2006,Mini,Mallit yhteensä,233,17.6,139000,128000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2006,Mini,COOPER,233,17.6,139000,128000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2006,Mitsubishi,Mallit yhteensä,1427,28.45,196000,190000,Taka-akselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2006,Mitsubishi,COLT,288,17.71,138000,134000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2006,Mitsubishi,GRANDIS,280,33.93,259000,257000,"Ohjausnivelet ja
-tangot",Käyttöjarru,Etuakselisto
2006,Mitsubishi,LANCER,434,27.19,175000,175000,"Ohjausnivelet ja
-tangot",Taka-akselisto,Käyttöjarru
2006,Mitsubishi,OUTLANDER,291,37.8,199000,196000,Taka-akselisto,Käyttöjarru,"Ohjausnivelet ja
-tangot"
2006,Mitsubishi,PAJERO,131,23.66,249000,248000,Etuakselisto,,
2006,Nissan,Mallit yhteensä,9197,24.99,176000,171000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2006,Nissan,ALMERA,2250,14.98,151000,148000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2006,Nissan,ALMERA TINO,143,29.37,169000,169000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Nissan,MICRA,1063,23.05,138000,128000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2006,Nissan,NOTE,1413,26.96,168000,165000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Nissan,PATHFINDER,191,46.07,298000,295000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2006,Nissan,PRIMERA,3376,27.93,192000,190000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2006,Nissan,X-TRAIL,666,36.04,230000,223000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Seisontajarrun
dynamometritesti"
2006,Opel,Mallit yhteensä,6657,33.75,203000,197000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2006,Opel,ASTRA,3337,33.74,192000,187000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2006,Opel,CORSA,343,23.62,138000,133000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2006,Opel,MERIVA,210,30,161000,160000,Käyttöjarru,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2006,Opel,VECTRA,1708,32.55,224000,218000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2006,Opel,ZAFIRA,980,40.92,238000,229000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2006,Peugeot,Mallit yhteensä,7417,29.94,173000,165000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2006,Peugeot,1007,128,28.91,116000,109000,Etuakselisto,,
2006,Peugeot,107,218,14.22,122000,112000,Etuakselisto,,
2006,Peugeot,206,1486,26.11,130000,123000,Etuakselisto,"Ohjausnivelet ja
-tangot","Sisäinen
valvontajärjestelmä
(OBD)"
2006,Peugeot,207,980,28.37,145000,139000,Etuakselisto,"Käyttöjarrun
dynamometritesti",
2006,Peugeot,307,2545,32.65,187000,182000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Etuakselisto
2006,Peugeot,407,1775,31.21,205000,197000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2006,Peugeot,607,106,29.25,252000,233000,Etuakselisto,,
2006,Porsche,Mallit yhteensä,203,10.34,111000,103000,,,
2006,Renault,Mallit yhteensä,4054,40.53,177000,173000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2006,Renault,CLIO,963,34.16,129000,123000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Jousitus ja
iskunvaimennus"
2006,Renault,LAGUNA,373,40.21,193000,190000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2006,Renault,MEGANE,1522,41.26,187000,185000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2006,Renault,"MEGANE
SCENIC",803,45.7,203000,207000,Etuakselisto,"Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2006,Renault,MODUS,110,45.45,139000,133000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2006,Saab,Mallit yhteensä,2154,24.98,220000,213000,Taka-akselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Saab,9-3,1406,25.89,213000,208000,Taka-akselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Saab,9-5,742,23.32,234000,222000,Taka-akselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2006,Seat,Mallit yhteensä,1083,32.41,205000,195000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2006,Seat,CORDOBA,112,37.5,192000,171000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2006,Seat,IBIZA,267,45.32,166000,168000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2006,Seat,LEON,491,23.63,215000,204000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2006,Skoda,Mallit yhteensä,6228,27.57,238000,229000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2006,Skoda,FABIA,1111,31.32,185000,170000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2006,Skoda,OCTAVIA,4696,26.34,250000,242000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2006,Skoda,ROOMSTER,163,33.13,203000,201000,"Seisontajarrun
dynamometritesti",Käyttöjarru,
2006,Skoda,SUPERB,257,29.96,261000,243000,Etuakselisto,Käyttöjarru,"Ohjausnivelet ja
-tangot"
2006,Smart,Mallit yhteensä,360,19.72,125000,123000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Smart,FORFOUR,294,21.43,134000,133000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2006,Subaru,Mallit yhteensä,1083,14.13,194000,191000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)","Bensiinimoottorin
pakokaasumittaus"
2006,Subaru,FORESTER,519,12.91,198000,196000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru
2006,Subaru,IMPREZA,220,17.27,165000,164000,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus","Bensiinimoottorin
pakokaasumittaus"
2006,Subaru,LEGACY,328,13.72,208000,202000,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Bensiinimoottorin
pakokaasumittaus"
2006,Suzuki,Mallit yhteensä,1009,18.33,162000,157000,Etuakselisto,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti"
2006,Suzuki,GRAND VITARA,310,10.97,192000,186000,,,
2006,Suzuki,LIANA,206,17.96,151000,146000,Etuakselisto,,
2006,Suzuki,SWIFT,237,28.69,143000,137000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2006,Suzuki,SX4,104,21.15,162000,155000,"Jousitus ja
iskunvaimennus",,
2006,Toyota,Mallit yhteensä,20613,14.52,196000,184000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2006,Toyota,AVENSIS,4999,15.98,230000,215000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2006,Toyota,AYGO,901,20.64,133000,126000,"Alustan kotelot ja
pohjalevy",Etuakselisto,"Käyttöjarrun
dynamometritesti"
2006,Toyota,COROLLA,6961,11.28,177000,169000,"Käyttöjarrun
dynamometritesti",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2006,Toyota,"COROLLA
VERSO",2006,13.01,233000,220000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Renkaat ja vanteet
2006,Toyota,LAND CRUISER,407,15.48,299000,291000,Etuakselisto,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2006,Toyota,PRIUS,109,28.44,224000,218000,"Jousitus ja
iskunvaimennus",,
2006,Toyota,RAV4,2004,15.02,215000,209000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2006,Toyota,YARIS,2996,17.42,145000,138000,"Jousitus ja
iskunvaimennus","Alustan kotelot ja
pohjalevy",Taka-akselisto
2006,Volkswagen,Mallit yhteensä,15926,25.02,224000,209000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2006,Volkswagen,CADDY,258,25.19,210000,199000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti",Käyttöjarru
2006,Volkswagen,GOLF,5617,21.04,192000,183000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2006,Volkswagen,JETTA,2678,28.16,215000,203000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Alustan kotelot ja
pohjalevy"
2006,Volkswagen,PASSAT,4292,27.14,277000,271000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Seisontajarrun
dynamometritesti"
2006,Volkswagen,POLO,1531,23.78,150000,138000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2006,Volkswagen,TOUAREG,135,18.52,247000,242000,Käyttöjarru,,
2006,Volkswagen,TOURAN,811,31.07,270000,265000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2006,Volkswagen,TRANSPORTER,329,32.22,380000,343000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2006,Volvo,Mallit yhteensä,11361,26.31,247000,231000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2006,Volvo,S40,1276,23.28,180000,173000,Etuakselisto,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2006,Volvo,S60,1248,22.28,212000,203000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Ohjausnivelet ja
-tangot"
2006,Volvo,S80,1017,23.3,257000,237000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Käyttöjarru
2006,Volvo,V50,2280,27.54,222000,215000,Etuakselisto,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2006,Volvo,V70,4100,26.95,285000,264000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2006,Volvo,XC70,513,27.1,268000,259000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot",
2006,Volvo,XC90,824,34.95,266000,263000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Merkit yhteensä,Mallit yhteensä,137974,23.6,199000,187000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Alfa Romeo,Mallit yhteensä,392,44.64,181000,171000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Alfa Romeo,159,265,47.92,202000,193000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Audi,Mallit yhteensä,6355,16.46,224000,214000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2007,Audi,A3,1120,16.16,180000,172000,"Jousitus ja
iskunvaimennus","Käyttöjarrun
dynamometritesti",Käyttöjarru
2007,Audi,A4,2268,18.47,228000,220000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Renkaat ja vanteet
2007,Audi,A5,193,14.51,221000,219000,,,
2007,Audi,A6,1828,14.17,255000,245000,Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
2007,Audi,Q7,459,18.95,246000,238000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Audi,TT,267,16.85,146000,147000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2007,BMW,Mallit yhteensä,6927,26.25,226000,222000,Käyttöjarru,Taka-akselisto,"Jousitus ja
iskunvaimennus"
2007,BMW,1,559,22,169000,162000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Taka-akselisto
2007,BMW,3,2931,28.97,217000,211000,Taka-akselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,BMW,5,2235,26.98,256000,251000,"Ohjausnivelet ja
-tangot",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,BMW,X3,337,18.99,220000,214000,"Jousitus ja
iskunvaimennus",Käyttöjarru,
2007,BMW,X5,668,21.56,239000,235000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Chevrolet,Mallit yhteensä,1606,36.49,167000,157000,Etuakselisto,"Käyttöjarrun
dynamometritesti",Käyttöjarru
2007,Chevrolet,AVEO,348,34.2,130000,125000,Etuakselisto,"Käyttöjarrun
dynamometritesti",Käyttöjarru
2007,Chevrolet,CAPTIVA,352,38.64,232000,230000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2007,Chevrolet,EPICA,234,45.3,212000,200000,"Ohjausnivelet ja
-tangot",Käyttöjarru,
2007,Chevrolet,KALOS,202,32.18,112000,108000,Etuakselisto,"Käyttöjarrun
dynamometritesti",Käyttöjarru
2007,Chevrolet,NUBIRA,303,34.32,166000,163000,"Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)","Käyttöjarrun
dynamometritesti"
2007,Chrysler,Mallit yhteensä,1567,40.08,208000,200000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Etuakselisto
2007,Chrysler,300C,381,42.26,228000,213000,"Seisontajarrun
dynamometritesti",Etuakselisto,Taka-akselisto
2007,Chrysler,SEBRING,384,32.03,175000,164000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Chrysler,VOYAGER,707,43.71,225000,221000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Citroen,Mallit yhteensä,5332,29.13,180000,169000,Etuakselisto,"Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Citroen,C2,346,24.28,117000,113000,Etuakselisto,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Citroen,C3,794,27.08,119000,117000,Etuakselisto,"Jousitus ja
iskunvaimennus",Jarruvalo
2007,Citroen,C4,1526,32.31,183000,172000,"Ohjausnivelet ja
-tangot",Etuakselisto,Käyttöjarru
2007,Citroen,C4 PICASSO,732,26.91,217000,208000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Citroen,C5,982,32.79,224000,213000,Etuakselisto,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2007,Citroen,XSARA PICASSO,680,22.06,170000,166000,"Ohjausnivelet ja
-tangot",Etuakselisto,"Sisäinen
valvontajärjestelmä
(OBD)"
2007,Dodge,Mallit yhteensä,1069,49.77,185000,180000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Dodge,AVENGER,130,19.23,168000,164000,Etuakselisto,,
2007,Dodge,CALIBER,737,58.62,181000,176000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Dodge,NITRO,183,39.34,223000,220000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Fiat,Mallit yhteensä,2739,31.25,137000,129000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)","Ohjausnivelet ja
-tangot"
2007,Fiat,ALBEA,446,26.01,115000,109000,"Ohjausnivelet ja
-tangot","Bensiinimoottorin
pakokaasumittaus",Etuakselisto
2007,Fiat,BRAVO,100,41,171000,167000,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot"
2007,Fiat,CROMA,144,34.03,190000,184000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2007,Fiat,PUNTO,1578,29.28,127000,122000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)","Seisontajarrun
dynamometritesti"
2007,Fiat,STILO,295,46.1,173000,168000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot","Seisontajarrun
dynamometritesti"
2007,Ford,Mallit yhteensä,8411,25.56,200000,189000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Seisontajarrun
dynamometritesti"
2007,Ford,FIESTA,671,9.39,120000,115000,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)",
2007,Ford,FOCUS,3306,27.47,180000,173000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Ford,FOCUS C-MAX,331,25.08,180000,173000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Ford,GALAXY,193,35.75,263000,254000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Ford,KA,155,30.97,96000,93000,"Jousitus ja
iskunvaimennus",Etuakselisto,"Alustan kotelot ja
pohjalevy"
2007,Ford,MONDEO,2772,26.95,240000,232000,Taka-akselisto,"Jousitus ja
iskunvaimennus","Dieselmoottorin
pakokaasumittaus"
2007,Ford,MUSTANG,110,10.91,104000,91000,,,
2007,Ford,S-MAX,595,25.38,235000,226000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2007,Ford,"TOURNEO
CONNECT",116,33.62,235000,222000,"Alustan kotelot ja
pohjalevy",,
2007,Honda,Mallit yhteensä,6664,18.41,194000,187000,Käyttöjarru,"Jousitus ja
iskunvaimennus",Etuakselisto
2007,Honda,ACCORD,1383,22.99,228000,218000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Honda,CIVIC,1970,18.07,157000,154000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Honda,CR-V,2792,17.19,210000,203000,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot",Käyttöjarru
2007,Honda,FR-V,236,13.56,196000,194000,"Käyttöjarrun
dynamometritesti",,
2007,Honda,JAZZ,260,14.23,125000,122000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Hyundai,Mallit yhteensä,2690,20.67,160000,144000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Hyundai,ACCENT,105,21.9,122000,118000,,,
2007,Hyundai,GETZ,1306,10.95,121000,112000,"Käyttöjarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)",Etuakselisto
2007,Hyundai,I30,155,27.74,160000,148000,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti",Taka-akselisto
2007,Hyundai,SANTA FE,250,36,250000,241000,Etuakselisto,Taka-akselisto,"Seisontajarrun
dynamometritesti"
2007,Hyundai,SONATA,398,31.41,229000,213000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Käyttöjarrun
dynamometritesti"
2007,Hyundai,TUCSON,257,24.9,174000,171000,Etuakselisto,Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,Jaguar,Mallit yhteensä,297,21.55,172000,163000,Taka-akselisto,"Alustan kotelot ja
pohjalevy",Etuakselisto
2007,Jaguar,S-TYPE,108,15.74,165000,160000,Taka-akselisto,,
2007,Jaguar,X-TYPE,153,28.76,193000,191000,Taka-akselisto,,
2007,Jeep,Mallit yhteensä,624,38.46,212000,206000,Etuakselisto,Taka-akselisto,"Ohjausnivelet ja
-tangot"
2007,Jeep,CHEROKEE,238,23.95,232000,228000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Jeep,COMPASS,178,61.24,195000,186000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Jeep,PATRIOT,107,48.6,183000,176000,Taka-akselisto,Etuakselisto,"Ohjausnivelet ja
-tangot"
2007,Kia,Mallit yhteensä,5132,29.33,179000,170000,"Seisontajarrun
dynamometritesti",Käyttöjarru,Etuakselisto
2007,Kia,CARENS,165,43.64,187000,182000,"Seisontajarrun
dynamometritesti",Taka-akselisto,Etuakselisto
2007,Kia,CARNIVAL,138,39.13,235000,225000,Taka-akselisto,Etuakselisto,
2007,Kia,CEED,2493,29.68,182000,172000,Taka-akselisto,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Kia,CERATO,689,24.24,153000,139000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Käyttöjarrun
dynamometritesti"
2007,Kia,MAGENTIS,126,31.75,181000,175000,"Seisontajarrun
dynamometritesti",Käyttöjarru,
2007,Kia,PICANTO,168,21.43,108000,104000,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti",Käyttöjarru
2007,Kia,RIO,201,25.87,129000,122000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Seisontajarrun
dynamometritesti"
2007,Kia,SORENTO,346,31.79,244000,237000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2007,Kia,SPORTAGE,702,28.21,182000,175000,Käyttöjarru,Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Lada,Mallit yhteensä,136,30.88,71000,65000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Lada,4X4,105,28.57,67000,60000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Land Rover,Mallit yhteensä,556,22.84,233000,225000,Etuakselisto,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Land Rover,DISCOVERY 3,131,23.66,254000,250000,Etuakselisto,Taka-akselisto,"Ohjausnivelet ja
-tangot"
2007,Land Rover,FREELANDER,196,23.47,235000,231000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2007,Land Rover,RANGE ROVER,129,24.03,208000,203000,Etuakselisto,,
2007,Lexus,Mallit yhteensä,395,17.47,191000,191000,Käyttöjarru,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Lexus,IS250,119,17.65,171000,171000,,,
2007,Lexus,RX400H,108,17.59,206000,209000,"Seisontajarrun
dynamometritesti",Käyttöjarru,"Jousitus ja
iskunvaimennus"
2007,Mazda,Mallit yhteensä,4353,25.16,182000,178000,Etuakselisto,"Jousitus ja
iskunvaimennus",Käyttöjarru
2007,Mazda,2,170,14.71,128000,117000,"Jousitus ja
iskunvaimennus",,
2007,Mazda,3,878,29.38,154000,153000,Etuakselisto,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Mazda,5,435,40.69,196000,190000,Etuakselisto,"Bensiinimoottorin
pakokaasumittaus","Jousitus ja
iskunvaimennus"
2007,Mazda,6,2699,21.86,193000,189000,Käyttöjarru,"Käyttöjarrun
dynamometritesti","Jousitus ja
iskunvaimennus"
2007,Mazda,CX-7,128,32.81,179000,178000,"Seisontajarrun
dynamometritesti","Ohjausnivelet ja
-tangot",
2007,Mercedes-Benz,Mallit yhteensä,7694,28.06,245000,228000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,A,389,15.42,145000,132000,"Jousitus ja
iskunvaimennus",Käyttöjarru,Etuakselisto
2007,Mercedes-Benz,B,317,24.61,190000,180000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",Etuakselisto
2007,Mercedes-Benz,C,2685,28.16,221000,206000,Etuakselisto,"Jousitus ja
iskunvaimennus","Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,CLS,160,26.88,214000,205000,Etuakselisto,"Jousitus ja
iskunvaimennus","Ohjausnivelet ja
-tangot"
2007,Mercedes-Benz,E,2115,32.53,303000,279000,Etuakselisto,"Ohjausnivelet ja
-tangot","Jousitus ja
iskunvaimennus"
2007,Mercedes-Benz,GL,205,27.32,245000,240000,"Jousitus ja
iskunvaimennus",Käyttöjarru,
2007,Mercedes-Benz,M,679,22.68,241000,237000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Seisontajarrun
dynamometritesti"
2007,Mercedes-Benz,R,311,27.97,242000,239000,Käyttöjarru,"Jousitus ja
iskunvaimennus","Sisäinen
valvontajärjestelmä
(OBD)"
2007,Mercedes-Benz,S,249,17.27,223000,223000,Etuakselisto,,
2007,Mercedes-Benz,VIANO,108,41.67,264000,261000,"Seisontajarrun
dynamometritesti","Jousitus ja
iskunvaimennus",
2007,Mercedes-Benz,VITO,155,40,333000,300000,"Seisontajarrun
dynamometritesti",Etuakselisto,"Jousitus ja
iskunvaimennus"
2007,Mini,Mallit yhteensä,297,17.17,131000,128000,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
2007,Mini,COOPER,289,16.61,131000,127000,"Bensiinimoottorin
pakokaasumittaus","Sisäinen
valvontajärjestelmä
(OBD)","Jousitus ja
iskunvaimennus"
